{4,74,92}.
{5,425,582}.
{1,603,975}.
{6,222,848}.
{2,370,228}.
{6,634,119}.
{7,495,399}.
{10,850,487}.
{9,259,832}.
{4,545,397}.
{8,882,988}.
{5,64,772}.
{8,512,574}.
{9,287,894}.
{1,126,516}.
{9,975,11}.
{5,342,167}.
{4,611,871}.
{8,324,150}.
{4,893,599}.
{7,27,348}.
{10,402,102}.
{4,579,736}.
{7,689,714}.
{8,431,176}.
{7,740,419}.
{6,534,339}.
{4,822,980}.
{6,904,750}.
{2,26,339}.
{7,510,743}.
{10,284,837}.
{2,646,451}.
{6,280,281}.
{1,458,836}.
{9,856,120}.
{5,787,451}.
{5,787,860}.
{10,971,347}.
{4,5,599}.
{1,631,887}.
{4,131,829}.
{5,342,222}.
{3,599,570}.
{10,379,110}.
{10,213,320}.
{3,803,605}.
{2,204,255}.
{2,98,897}.
{6,604,629}.
{6,570,983}.
{10,54,692}.
{8,107,846}.
{3,858,460}.
{3,39,756}.
{1,32,541}.
{3,873,27}.
{9,430,116}.
{8,703,487}.
{3,692,816}.
{7,643,378}.
{8,422,125}.
{9,789,279}.
{8,556,503}.
{10,305,211}.
{4,954,631}.
{5,991,471}.
{2,984,988}.
{5,571,996}.
{2,271,414}.
{5,68,51}.
{4,630,917}.
{7,317,828}.
{1,307,371}.
{7,235,287}.
{7,995,565}.
{3,155,308}.
{4,695,209}.
{8,4,426}.
{8,878,656}.
{2,599,728}.
{8,711,217}.
{6,120,304}.
{7,295,562}.
{1,282,567}.
{7,906,942}.
{6,444,704}.
{1,740,752}.
{5,45,491}.
{6,60,133}.
{8,730,275}.
{1,80,580}.
{9,666,948}.
{2,757,627}.
{10,315,203}.
{5,898,530}.
{5,256,219}.
{2,401,4}.
{6,602,574}.
{8,418,934}.
